"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"October 21, 2016",Texas,"College Station","Central Park Lane",0,1,N/A
"October 3, 2016",Texas,"Fort Worth","1416 Meadowlane Terrace",0,1,N/A
"September 29, 2016",Texas,"Fort Worth","3712 North Elm Street",1,0,N/A
"September 16, 2016",Texas,"Harris (county)",N/A,0,1,N/A
"September 12, 2016",Texas,"Fort Worth","1200 block of Susan Avenue",0,1,N/A
"September 8, 2016",Texas,Alpine,"704 West Sul Ross Ave",1,2,N/A
"September 6, 2016",Texas,Terrell,"200 Bowser Cir",0,1,N/A
"September 5, 2016",Texas,"San Benito","200 block of Los Ranchitos",1,0,N/A
"August 27, 2016",Texas,"San Benito","500 block of Doherty Street",1,0,N/A
"August 7, 2016",Texas,Texarkana,"300 block of Breckenridge Street",0,1,N/A
"July 31, 2016",Texas,Houston,"300 block of De Haven St",1,0,N/A
"July 28, 2016",Texas,Alvin,"4000 block of East Texas 6",0,1,N/A
"July 27, 2016",Texas,"Fort Worth","3600 block of Hulen Park Circle",0,1,N/A
"July 26, 2016",Texas,Houston,"9700 block of Shady Tree Ln",1,0,N/A
"July 26, 2016",Texas,"San Antonio","3600 block of Callaghan Road",1,0,N/A
"July 20, 2016",Texas,"Texas City",N/A,0,1,N/A
"July 19, 2016",Texas,Alvin,"3400 block of Oxford",1,0,N/A
"July 15, 2016",Texas,Houston,"Sageland Drive",1,0,N/A
"July 11, 2016",Texas,"Marion (county)","Monica Drive",1,0,N/A
"July 8, 2016",Texas,"Mineral Wells","2600 block of S.W 8th Avenue",1,0,N/A
"July 2, 2016",Texas,Waco,"3100 block of MacArthur Drive",0,1,N/A
"June 28, 2016",Texas,"San Antonio","8600 block of Star Creek Drive",1,0,N/A
"May 17, 2016",Texas,Beaumont,"Pipkin Street",0,1,N/A
"May 2, 2016",Texas,Dallas,"3606 South Westmoreland Road",0,1,N/A
"April 24, 2016",Texas,Lubbock,"1900 block of 46th Street",0,1,N/A
"April 22, 2016",Texas,Arlington,"4200 block of Troy Lane",0,1,N/A
"April 16, 2016",Texas,Spring,"Roth Forest Lane",0,1,N/A
"April 13, 2016",Texas,Bertram,"1200 block of County Road 304",0,1,N/A
"March 25, 2016",Texas,"San Angelo","5751 Green Hill Road",0,1,N/A
"March 19, 2016",Texas,Palestine,"300 block of Anderson County Road 1370",1,0,N/A
"March 19, 2016",Texas,Levelland,"1400 block of 12th Street",0,1,N/A
"March 14, 2016",Texas,Bridgeport,"County Road 3825",1,0,N/A
"March 12, 2016",Texas,Paris,"210 Stone Avenue",1,0,N/A
"March 1, 2016",Texas,"Corpus Christi","6300 block of Hanley Drive",1,0,N/A
"February 16, 2016",Texas,Lubbock,"2538 71st St",1,0,N/A
"February 9, 2016",Texas,"San Antonio","3300 block of Rock Creek Run",0,1,N/A
"February 6, 2016",Texas,Forney,"17437 Adams Trail",0,1,N/A
"February 5, 2016",Texas,Temple,"5200 block of Indian Springs Drive",0,1,N/A
"February 4, 2016",Texas,"Temple (Moffatt)","5200 block of Indian Springs Road",0,1,N/A
"January 27, 2016",Texas,Brownsville,"900 block of Ruben Torres Boulevard",0,1,N/A
"January 25, 2016",Texas,Baytown,"4100 block of Tumbleweed",2,0,N/A
"January 19, 2016",Texas,Cypress,"15400 block of Redbud Berry Way",1,0,N/A
"January 16, 2016",Texas,"Elm Mott","3600 block of Beheler Road",0,1,N/A
"January 16, 2016",Texas,Houston,"5203 Dumfries Drive",1,0,N/A
"January 3, 2016",Texas,Spring,"30706 Eastridge Drive",0,1,N/A
"December 24, 2015",Texas,"Fort Worth (Watauga)","123 Old Chigger Trail",0,1,N/A
"December 19, 2015",Texas,Houston,"10633 Strickland",0,1,N/A
"December 14, 2015",Texas,Gainesville,"900 block of East Scott Street",0,1,N/A
"December 10, 2015",Texas,Houston,"5300 block of West Gulf Bank",0,1,N/A
"December 10, 2015",Texas,"San Antonio","8300 block of Shoal Creek",0,1,N/A
"December 10, 2015",Texas,"Universal City","300 block of Madrid",1,0,N/A
"December 9, 2015",Texas,Dallas,"4900 block of South Buckner Boulevard",1,0,N/A
