id,incident_date,address,city,zip,county,tx,number_killed,number_injured,operations,city_or_county,state,m_zip,lat,long
99,2017-05-07,N/A,Palestine,,NA,TX,0,1,N/A,Palestine,Texas,NA,NA,NA
100,2017-05-05,800 block of Upton St,San Angelo,,NA,TX,0,1,N/A,San Angelo,Texas,76903,31.472158,-100.42407
101,2017-04-28,2200 block of S Indiana,Brownsville,,NA,TX,0,1,N/A,Brownsville,Texas,NA,NA,NA
102,2017-04-25,71st St and Utica Ave,Lubbock,,NA,TX,0,1,N/A,Lubbock,Texas,79424,33.52899,-101.91372
103,2017-04-19,1200 W 8th St,Freeport,,NA,TX,1,0,N/A,Freeport,Texas,77541,28.94872,-95.36331
104,2017-04-13,21323 Finbury Oaks Lane,Katy,,NA,TX,1,0,N/A,Katy,Texas,NA,NA,NA
105,2017-04-02,1000 block of Vaky St,Corpus Christi,,NA,TX,1,0,N/A,Corpus Christi,Texas,78404,27.756693,-97.397
106,2017-04-02,24100 block of Acanthus,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,NA,NA,NA
107,2017-03-23,200 block of FM 1534,Whitney,,NA,TX,1,0,N/A,Whitney,Texas,NA,NA,NA
108,2017-03-23,800 block of W Green Ave,Killeen,,NA,TX,1,0,N/A,Killeen,Texas,NA,NA,NA
109,2017-03-22,4002 Corder St,Houston,,NA,TX,2,0,N/A,Houston,Texas,77021,29.685568,-95.36218
110,2017-03-22,400 Block of Hardy Circle,El Paso,,NA,TX,1,0,N/A,El Paso,Texas,79905,31.771141,-106.41049
111,2017-03-17,4860 SW Loop 820,Fort Worth,,NA,TX,0,2,N/A,Fort Worth,Texas,76109,32.682907,-97.3967
112,2017-03-16,N/A,Fort Worth,,NA,TX,0,1,N/A,Fort Worth,Texas,NA,NA,NA
113,2017-03-12,700 block of Hatton Hill Lane,Austin,,NA,TX,0,1,N/A,Austin,Texas,NA,NA,NA
114,2017-03-10,21300 block of Greenham Dr.,Spring,,NA,TX,1,0,N/A,Spring,Texas,77388,30.073519,-95.46602
115,2017-01-02,1600 Block of North 8th Street,Lamesa,,NA,TX,0,1,N/A,Lamesa,Texas,NA,NA,NA
116,2016-12-31,4235 Oak Shadows,Houston,,NA,TX,1,0,N/A,Houston,Texas,77091,29.843706,-95.45008
117,2016-12-29,500 block of FM 843,Lufkin,,NA,TX,0,1,N/A,Lufkin,Texas,NA,NA,NA
118,2016-12-17,9th Street and Colcord Avenue,Waco,,NA,TX,0,1,N/A,Waco,Texas,76707,31.56194,-97.145386
119,2016-12-12,700 Dominik Drive,College Station,,NA,TX,0,1,N/A,College Station,Texas,77840,30.622826,-96.317245
120,2016-11-28,406 W Martinez St,Del Rio,,NA,TX,2,0,N/A,Del Rio,Texas,78840,29.353983,-100.87978
121,2016-10-21,Central Park Lane,College Station,,NA,TX,0,1,N/A,College Station,Texas,NA,NA,NA
122,2016-10-03,1416 Meadowlane Terrace,Fort Worth,,NA,TX,0,1,N/A,Fort Worth,Texas,76112,32.75877,-97.20361
123,2016-09-29,3712 North Elm Street,Fort Worth,,NA,TX,1,0,N/A,Fort Worth,Texas,76106,32.810688,-97.343765
124,2016-09-16,N/A,,,Harris,TX,0,1,N/A,Harris (county),Texas,NA,NA,NA
125,2016-09-12,1200 block of Susan Avenue,Fort Worth,,NA,TX,0,1,N/A,Fort Worth,Texas,76120,32.76274,-97.16231
126,2016-09-08,704 West Sul Ross Ave,Alpine,,NA,TX,1,2,N/A,Alpine,Texas,79830,30.357546,-103.66812
127,2016-09-06,200 Bowser Cir,Terrell,,NA,TX,0,1,N/A,Terrell,Texas,75160,32.736126,-96.28488
128,2016-09-05,200 block of Los Ranchitos,San Benito,,NA,TX,1,0,N/A,San Benito,Texas,78586,26.033361,-97.638756
129,2016-08-27,500 block of Doherty Street,San Benito,,NA,TX,1,0,N/A,San Benito,Texas,78586,26.141857,-97.635704
130,2016-08-07,300 block of Breckenridge Street,Texarkana,,NA,TX,0,1,N/A,Texarkana,Texas,75501,33.43952,-94.08706
131,2016-07-31,300 block of De Haven St,Houston,,NA,TX,1,0,N/A,Houston,Texas,77029,29.738173,-95.25661
132,2016-07-28,4000 block of East Texas 6,Alvin,,NA,TX,0,1,N/A,Alvin,Texas,NA,NA,NA
133,2016-07-27,3600 block of Hulen Park Circle,Fort Worth,,NA,TX,0,1,N/A,Fort Worth,Texas,76123,32.625923,-97.37087
134,2016-07-26,9700 block of Shady Tree Ln,Houston,,NA,TX,1,0,N/A,Houston,Texas,77086,29.921629,-95.50363
135,2016-07-26,3600 block of Callaghan Road,San Antonio,,NA,TX,1,0,N/A,San Antonio,Texas,78228,29.45631,-98.60253
136,2016-07-20,N/A,Texas City,,NA,TX,0,1,N/A,Texas City,Texas,NA,NA,NA
137,2016-07-19,3400 block of Oxford,Alvin,,NA,TX,1,0,N/A,Alvin,Texas,77511,29.395544,-95.23683
138,2016-07-15,Sageland Drive,Houston,,NA,TX,1,0,N/A,Houston,Texas,NA,NA,NA
139,2016-07-11,Monica Drive,,,Marion,TX,1,0,N/A,Marion (county),Texas,NA,NA,NA
140,2016-07-08,2600 block of S.W 8th Avenue,Mineral Wells,,NA,TX,1,0,N/A,Mineral Wells,Texas,NA,NA,NA
141,2016-07-02,3100 block of MacArthur Drive,Waco,,NA,TX,0,1,N/A,Waco,Texas,76708,31.564745,-97.18375
142,2016-06-28,8600 block of Star Creek Drive,San Antonio,,NA,TX,1,0,N/A,San Antonio,Texas,78251,29.466284,-98.661255
143,2016-05-17,Pipkin Street,Beaumont,,NA,TX,0,1,N/A,Beaumont,Texas,NA,NA,NA
144,2016-05-02,3606 South Westmoreland Road,Dallas,,NA,TX,0,1,N/A,Dallas,Texas,75233,32.70162,-96.87799
145,2016-04-24,1900 block of 46th Street,Lubbock,,NA,TX,0,1,N/A,Lubbock,Texas,79412,33.55241,-101.85818
146,2016-04-22,4200 block of Troy Lane,Arlington,,NA,TX,0,1,N/A,Arlington,Texas,76016,32.6802,-97.19795
147,2016-04-16,Roth Forest Lane,Spring,,NA,TX,0,1,N/A,Spring,Texas,NA,NA,NA
148,2016-04-13,1200 block of County Road 304,Bertram,,NA,TX,0,1,N/A,Bertram,Texas,NA,NA,NA
149,2016-03-25,5751 Green Hill Road,San Angelo,,NA,TX,0,1,N/A,San Angelo,Texas,NA,NA,NA
150,2016-03-19,300 block of Anderson County Road 1370,Palestine,,NA,TX,1,0,N/A,Palestine,Texas,NA,NA,NA
151,2016-03-19,1400 block of 12th Street,Levelland,,NA,TX,0,1,N/A,Levelland,Texas,79336,33.581024,-102.38418
152,2016-03-14,County Road 3825,Bridgeport,,NA,TX,1,0,N/A,Bridgeport,Texas,NA,NA,NA
153,2016-03-12,210 Stone Avenue,Paris,,NA,TX,1,0,N/A,Paris,Texas,75460,33.691467,-95.552505
154,2016-03-01,6300 block of Hanley Drive,Corpus Christi,,NA,TX,1,0,N/A,Corpus Christi,Texas,NA,NA,NA
155,2016-02-16,2538 71st St,Lubbock,,NA,TX,1,0,N/A,Lubbock,Texas,79413,33.53015,-101.87299
156,2016-02-09,3300 block of Rock Creek Run,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,78230,29.51974,-98.548546
157,2016-02-06,17437 Adams Trail,Forney,,NA,TX,0,1,N/A,Forney,Texas,NA,NA,NA
158,2016-02-05,5200 block of Indian Springs Drive,Temple,,NA,TX,0,1,N/A,Temple,Texas,76502,31.18526,-97.46984
159,2016-02-04,5200 block of Indian Springs Road,Temple (Moffatt),,NA,TX,0,1,N/A,Temple (Moffatt),Texas,NA,NA,NA
160,2016-01-27,900 block of Ruben Torres Boulevard,Brownsville,,NA,TX,0,1,N/A,Brownsville,Texas,NA,NA,NA
161,2016-01-25,4100 block of Tumbleweed,Baytown,,NA,TX,2,0,N/A,Baytown,Texas,NA,NA,NA
162,2016-01-19,15400 block of Redbud Berry Way,Cypress,,NA,TX,1,0,N/A,Cypress,Texas,77433,30.003412,-95.75339
163,2016-01-16,3600 block of Beheler Road,Elm Mott,,NA,TX,0,1,N/A,Elm Mott,Texas,76640,31.687872,-97.110596
164,2016-01-16,5203 Dumfries Drive,Houston,,NA,TX,1,0,N/A,Houston,Texas,77096,29.671337,-95.470894
165,2016-01-03,30706 Eastridge Drive,Spring,,NA,TX,0,1,N/A,Spring,Texas,77386,30.135963,-95.39892
166,2015-12-24,123 Old Chigger Trail,Fort Worth (Watauga),,NA,TX,0,1,N/A,Fort Worth (Watauga),Texas,NA,NA,NA
167,2015-12-19,10633 Strickland,Houston,,NA,TX,0,1,N/A,Houston,Texas,77093,29.867403,-95.3342
168,2015-12-14,900 block of East Scott Street,Gainesville,,NA,TX,0,1,N/A,Gainesville,Texas,NA,NA,NA
169,2015-12-10,5300 block of West Gulf Bank,Houston,,NA,TX,0,1,N/A,Houston,Texas,NA,NA,NA
170,2015-12-10,8300 block of Shoal Creek,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,78251,29.466202,-98.65164
171,2015-12-10,300 block of Madrid,Universal City,,NA,TX,1,0,N/A,Universal City,Texas,78148,29.553625,-98.31743
172,2015-12-09,4900 block of South Buckner Boulevard,Dallas,,NA,TX,1,0,N/A,Dallas,Texas,NA,NA,NA
173,2015-12-03,Farm to Market 2050 Rd,,,Webb,TX,1,0,N/A,Webb (county),Texas,NA,NA,NA
174,2015-11-21,18000 block of Yaupon Tr,Humble (Atascocita),,NA,TX,1,0,N/A,Humble (Atascocita),Texas,NA,NA,NA
175,2015-11-19,N/A,,,Lubbock,TX,0,1,N/A,Lubbock (county),Texas,NA,NA,NA
176,2015-11-12,Neely Avenue,Midland,,NA,TX,0,1,N/A,Midland,Texas,NA,NA,NA
177,2015-11-11,619 BIshop Drive,Killeen,,NA,TX,0,1,N/A,Killeen,Texas,76541,31.113102,-97.72902
178,2015-10-30,3280 Central Mall Blvd.,Port Arthur,,NA,TX,0,1,N/A,Port Arthur,Texas,77642,29.946531,-93.9859
179,2015-10-24,4600 block of Sorita Street,Mission,,NA,TX,0,1,N/A,Mission,Texas,78572,26.213495,-98.38068
180,2015-10-23,Canterbury Drive,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,NA,NA,NA
181,2015-09-28,3300 block of South Alameda Street,Corpus Christi,,NA,TX,0,1,N/A,Corpus Christi,Texas,NA,NA,NA
182,2015-09-27,N/A,Pollok,,NA,TX,0,1,N/A,Pollok,Texas,NA,NA,NA
183,2015-09-23,1700 block of South Hamilton Street,San Antonio,,NA,TX,1,0,N/A,San Antonio,Texas,NA,NA,NA
184,2015-09-13,2700 block of Faircrest Drive,Rockwall,,NA,TX,0,1,N/A,Rockwall,Texas,NA,NA,NA
185,2015-08-21,Shadow Circle,New Braunfels,,NA,TX,0,1,N/A,New Braunfels,Texas,NA,NA,NA
186,2015-08-20,5600 block of Shallow Run,Fort Worth (Benbrook),,NA,TX,1,0,N/A,Fort Worth (Benbrook),Texas,NA,NA,NA
187,2015-08-18,1802 Beacon Street,San Angelo,,NA,TX,0,1,N/A,San Angelo,Texas,76905,31.47721,-100.40943
188,2015-08-03,2500 block of North Eastman Road,Longview,,NA,TX,1,0,N/A,Longview,Texas,NA,NA,NA
189,2015-07-30,8442 Tavenor Lane,Houston,,NA,TX,1,0,N/A,Houston,Texas,77075,29.630045,-95.26818
190,2015-07-24,2200 block of 37th Street,Galveston,,NA,TX,0,1,N/A,Galveston,Texas,77550,29.285313,-94.80447
191,2015-07-23,6th Street and Louisiana,Weslaco,,NA,TX,0,1,N/A,Weslaco,Texas,NA,NA,NA
192,2015-07-20,1000 block of Cove Crest Trail,Fresno,,NA,TX,1,0,N/A,Fresno,Texas,77545,29.520758,-95.46485
193,2015-07-16,5400 block of War Cloud Drive,San Antonio,,NA,TX,1,0,N/A,San Antonio,Texas,78242,29.345207,-98.60492
194,2015-07-05,19000 block of Puget Lane,Spring,,NA,TX,1,0,N/A,Spring,Texas,NA,NA,NA
195,2015-07-02,Coit Road,Dallas,,NA,TX,0,1,N/A,Dallas,Texas,NA,NA,NA
196,2015-06-13,County Road 4010,,,Wise,TX,1,0,N/A,Wise (county),Texas,NA,NA,NA
197,2015-06-13,13600 block of North Central Expressway,Dallas,,NA,TX,1,0,N/A,Dallas,Texas,NA,NA,NA
198,2015-06-05,11500 Ferguson Road,Dallas,,NA,TX,0,1,N/A,Dallas,Texas,75228,32.852833,-96.6525
199,2015-06-04,5615 Leeland,Houston,,NA,TX,1,0,N/A,Houston,Texas,77023,29.731438,-95.31808
200,2015-06-01,6215 Heatherbloom,Houston,,NA,TX,1,0,N/A,Houston,Texas,77085,29.62204,-95.477295
201,2015-05-30,500 block of Washington Street,Abilene,,NA,TX,1,0,N/A,Abilene,Texas,79601,32.456085,-99.72611
202,2015-04-18,3600 block of Del Mar Court,Killeen,,NA,TX,1,0,N/A,Killeen,Texas,NA,NA,NA
203,2015-04-13,1100 block of Olive St,Texarkana,,NA,TX,0,1,N/A,Texarkana,Texas,75501,33.430237,-94.04673
204,2015-04-10,11290 Fondren,Houston,,NA,TX,1,0,N/A,Houston,Texas,77096,29.656168,-95.50844
205,2015-03-19,14425 Alief Clodine Rd,Houston,,NA,TX,1,0,N/A,Houston,Texas,NA,NA,NA
206,2015-03-19,6301 Sierra Blanca,Houston,,NA,TX,1,0,N/A,Houston,Texas,NA,NA,NA
207,2015-03-05,2300 block of Northeast 37th St.,Fort Worth,,NA,TX,0,1,N/A,Fort Worth,Texas,NA,NA,NA
208,2015-03-02,16800 block of Faring Road,Houston,,NA,TX,0,1,N/A,Houston,Texas,77049,29.859352,-95.13549
209,2015-03-01,1900 block of Imperial Stone Dr.,Houston,,NA,TX,1,0,N/A,Houston,Texas,NA,NA,NA
210,2015-02-27,7400 block of Betanna,Houston,,NA,TX,1,0,N/A,Houston,Texas,77095,29.885445,-95.63322
211,2015-02-26,3900 block of Plymouth Drive,Garland,,NA,TX,1,0,N/A,Garland,Texas,75043,32.867393,-96.61444
212,2015-02-07,5900 block of Highland Village Dr.,Dallas,,NA,TX,1,0,N/A,Dallas,Texas,75241,32.675686,-96.76167
213,2015-02-07,5800 block of Midcrown Drive,San Antonio,,NA,TX,0,1,N/A,San Antonio,Texas,78218,29.490238,-98.37635
214,2015-01-21,County Road 381,Medina County,,NA,TX,0,1,N/A,Medina County,Texas,NA,NA,NA
215,2015-01-17,Douglas Avenue,Colleyville,,NA,TX,0,1,N/A,Colleyville,Texas,NA,NA,NA
