id,incident_date,address,city,county,state,number_killed,number_injured,operations,city_or_county
124,2016-09-16,N/A,,Harris,Texas,0,1,N/A,Harris (county)
125,2016-09-12,1200 block of Susan Avenue,Fort Worth,NA,Texas,0,1,N/A,Fort Worth
126,2016-09-08,704 West Sul Ross Ave,Alpine,NA,Texas,1,2,N/A,Alpine
127,2016-09-06,200 Bowser Cir,Terrell,NA,Texas,0,1,N/A,Terrell
128,2016-09-05,200 block of Los Ranchitos,San Benito,NA,Texas,1,0,N/A,San Benito
129,2016-08-27,500 block of Doherty Street,San Benito,NA,Texas,1,0,N/A,San Benito
130,2016-08-07,300 block of Breckenridge Street,Texarkana,NA,Texas,0,1,N/A,Texarkana
131,2016-07-31,300 block of De Haven St,Houston,NA,Texas,1,0,N/A,Houston
132,2016-07-28,4000 block of East Texas 6,Alvin,NA,Texas,0,1,N/A,Alvin
133,2016-07-27,3600 block of Hulen Park Circle,Fort Worth,NA,Texas,0,1,N/A,Fort Worth
134,2016-07-26,9700 block of Shady Tree Ln,Houston,NA,Texas,1,0,N/A,Houston
135,2016-07-26,3600 block of Callaghan Road,San Antonio,NA,Texas,1,0,N/A,San Antonio
136,2016-07-20,N/A,Texas City,NA,Texas,0,1,N/A,Texas City
137,2016-07-19,3400 block of Oxford,Alvin,NA,Texas,1,0,N/A,Alvin
138,2016-07-15,Sageland Drive,Houston,NA,Texas,1,0,N/A,Houston
139,2016-07-11,Monica Drive,,Marion,Texas,1,0,N/A,Marion (county)
140,2016-07-08,2600 block of S.W 8th Avenue,Mineral Wells,NA,Texas,1,0,N/A,Mineral Wells
141,2016-07-02,3100 block of MacArthur Drive,Waco,NA,Texas,0,1,N/A,Waco
142,2016-06-28,8600 block of Star Creek Drive,San Antonio,NA,Texas,1,0,N/A,San Antonio
143,2016-05-17,Pipkin Street,Beaumont,NA,Texas,0,1,N/A,Beaumont
144,2016-05-02,3606 South Westmoreland Road,Dallas,NA,Texas,0,1,N/A,Dallas
145,2016-04-24,1900 block of 46th Street,Lubbock,NA,Texas,0,1,N/A,Lubbock
146,2016-04-22,4200 block of Troy Lane,Arlington,NA,Texas,0,1,N/A,Arlington
147,2016-04-16,Roth Forest Lane,Spring,NA,Texas,0,1,N/A,Spring
148,2016-04-13,1200 block of County Road 304,Bertram,NA,Texas,0,1,N/A,Bertram
149,2016-03-25,5751 Green Hill Road,San Angelo,NA,Texas,0,1,N/A,San Angelo
150,2016-03-19,300 block of Anderson County Road 1370,Palestine,NA,Texas,1,0,N/A,Palestine
151,2016-03-19,1400 block of 12th Street,Levelland,NA,Texas,0,1,N/A,Levelland
152,2016-03-14,County Road 3825,Bridgeport,NA,Texas,1,0,N/A,Bridgeport
153,2016-03-12,210 Stone Avenue,Paris,NA,Texas,1,0,N/A,Paris
154,2016-03-01,6300 block of Hanley Drive,Corpus Christi,NA,Texas,1,0,N/A,Corpus Christi
155,2016-02-16,2538 71st St,Lubbock,NA,Texas,1,0,N/A,Lubbock
156,2016-02-09,3300 block of Rock Creek Run,San Antonio,NA,Texas,0,1,N/A,San Antonio
157,2016-02-06,17437 Adams Trail,Forney,NA,Texas,0,1,N/A,Forney
158,2016-02-05,5200 block of Indian Springs Drive,Temple,NA,Texas,0,1,N/A,Temple
159,2016-02-04,5200 block of Indian Springs Road,Temple (Moffatt),NA,Texas,0,1,N/A,Temple (Moffatt)
160,2016-01-27,900 block of Ruben Torres Boulevard,Brownsville,NA,Texas,0,1,N/A,Brownsville
161,2016-01-25,4100 block of Tumbleweed,Baytown,NA,Texas,2,0,N/A,Baytown
162,2016-01-19,15400 block of Redbud Berry Way,Cypress,NA,Texas,1,0,N/A,Cypress
163,2016-01-16,3600 block of Beheler Road,Elm Mott,NA,Texas,0,1,N/A,Elm Mott
164,2016-01-16,5203 Dumfries Drive,Houston,NA,Texas,1,0,N/A,Houston
165,2016-01-03,30706 Eastridge Drive,Spring,NA,Texas,0,1,N/A,Spring
166,2015-12-24,123 Old Chigger Trail,Fort Worth (Watauga),NA,Texas,0,1,N/A,Fort Worth (Watauga)
167,2015-12-19,10633 Strickland,Houston,NA,Texas,0,1,N/A,Houston
168,2015-12-14,900 block of East Scott Street,Gainesville,NA,Texas,0,1,N/A,Gainesville
169,2015-12-10,5300 block of West Gulf Bank,Houston,NA,Texas,0,1,N/A,Houston
170,2015-12-10,8300 block of Shoal Creek,San Antonio,NA,Texas,0,1,N/A,San Antonio
171,2015-12-10,300 block of Madrid,Universal City,NA,Texas,1,0,N/A,Universal City
172,2015-12-09,4900 block of South Buckner Boulevard,Dallas,NA,Texas,1,0,N/A,Dallas
173,2015-12-03,Farm to Market 2050 Rd,,Webb,Texas,1,0,N/A,Webb (county)
174,2015-11-21,18000 block of Yaupon Tr,Humble (Atascocita),NA,Texas,1,0,N/A,Humble (Atascocita)
175,2015-11-19,N/A,,Lubbock,Texas,0,1,N/A,Lubbock (county)
176,2015-11-12,Neely Avenue,Midland,NA,Texas,0,1,N/A,Midland
177,2015-11-11,619 BIshop Drive,Killeen,NA,Texas,0,1,N/A,Killeen
178,2015-10-30,3280 Central Mall Blvd.,Port Arthur,NA,Texas,0,1,N/A,Port Arthur
179,2015-10-24,4600 block of Sorita Street,Mission,NA,Texas,0,1,N/A,Mission
180,2015-10-23,Canterbury Drive,San Antonio,NA,Texas,0,1,N/A,San Antonio
181,2015-09-28,3300 block of South Alameda Street,Corpus Christi,NA,Texas,0,1,N/A,Corpus Christi
182,2015-09-27,N/A,Pollok,NA,Texas,0,1,N/A,Pollok
183,2015-09-23,1700 block of South Hamilton Street,San Antonio,NA,Texas,1,0,N/A,San Antonio
184,2015-09-13,2700 block of Faircrest Drive,Rockwall,NA,Texas,0,1,N/A,Rockwall
185,2015-08-21,Shadow Circle,New Braunfels,NA,Texas,0,1,N/A,New Braunfels
186,2015-08-20,5600 block of Shallow Run,Fort Worth (Benbrook),NA,Texas,1,0,N/A,Fort Worth (Benbrook)
187,2015-08-18,1802 Beacon Street,San Angelo,NA,Texas,0,1,N/A,San Angelo
188,2015-08-03,2500 block of North Eastman Road,Longview,NA,Texas,1,0,N/A,Longview
189,2015-07-30,8442 Tavenor Lane,Houston,NA,Texas,1,0,N/A,Houston
190,2015-07-24,2200 block of 37th Street,Galveston,NA,Texas,0,1,N/A,Galveston
191,2015-07-23,6th Street and Louisiana,Weslaco,NA,Texas,0,1,N/A,Weslaco
192,2015-07-20,1000 block of Cove Crest Trail,Fresno,NA,Texas,1,0,N/A,Fresno
193,2015-07-16,5400 block of War Cloud Drive,San Antonio,NA,Texas,1,0,N/A,San Antonio
194,2015-07-05,19000 block of Puget Lane,Spring,NA,Texas,1,0,N/A,Spring
195,2015-07-02,Coit Road,Dallas,NA,Texas,0,1,N/A,Dallas
196,2015-06-13,County Road 4010,,Wise,Texas,1,0,N/A,Wise (county)
197,2015-06-13,13600 block of North Central Expressway,Dallas,NA,Texas,1,0,N/A,Dallas
198,2015-06-05,11500 Ferguson Road,Dallas,NA,Texas,0,1,N/A,Dallas
199,2015-06-04,5615 Leeland,Houston,NA,Texas,1,0,N/A,Houston
200,2015-06-01,6215 Heatherbloom,Houston,NA,Texas,1,0,N/A,Houston
201,2015-05-30,500 block of Washington Street,Abilene,NA,Texas,1,0,N/A,Abilene
202,2015-04-18,3600 block of Del Mar Court,Killeen,NA,Texas,1,0,N/A,Killeen
203,2015-04-13,1100 block of Olive St,Texarkana,NA,Texas,0,1,N/A,Texarkana
204,2015-04-10,11290 Fondren,Houston,NA,Texas,1,0,N/A,Houston
205,2015-03-19,14425 Alief Clodine Rd,Houston,NA,Texas,1,0,N/A,Houston
206,2015-03-19,6301 Sierra Blanca,Houston,NA,Texas,1,0,N/A,Houston
207,2015-03-05,2300 block of Northeast 37th St.,Fort Worth,NA,Texas,0,1,N/A,Fort Worth
208,2015-03-02,16800 block of Faring Road,Houston,NA,Texas,0,1,N/A,Houston
209,2015-03-01,1900 block of Imperial Stone Dr.,Houston,NA,Texas,1,0,N/A,Houston
210,2015-02-27,7400 block of Betanna,Houston,NA,Texas,1,0,N/A,Houston
211,2015-02-26,3900 block of Plymouth Drive,Garland,NA,Texas,1,0,N/A,Garland
212,2015-02-07,5900 block of Highland Village Dr.,Dallas,NA,Texas,1,0,N/A,Dallas
213,2015-02-07,5800 block of Midcrown Drive,San Antonio,NA,Texas,0,1,N/A,San Antonio
214,2015-01-21,County Road 381,Medina County,NA,Texas,0,1,N/A,Medina County
215,2015-01-17,Douglas Avenue,Colleyville,NA,Texas,0,1,N/A,Colleyville
216,2015-01-07,County Road 3823,Medina County,NA,Texas,0,1,N/A,Medina County
217,2014-12-31,N/A,Navasota,NA,Texas,0,1,N/A,Navasota
218,2014-12-30,FM 1409 and County Road 460,Dayton,NA,Texas,0,1,N/A,Dayton
219,2014-12-22,Johnson Ranch Road and County Road 4016,Kaufman County,NA,Texas,0,1,N/A,Kaufman County
220,2014-12-05,800 Kern Rd,Killeen,NA,Texas,0,1,N/A,Killeen
221,2014-12-04,1200 block of Golden View Court,Arlington,NA,Texas,1,0,N/A,Arlington
222,2014-11-30,4702 West Magnum Rd.,Houston,NA,Texas,0,1,N/A,Houston
223,2014-11-29,4700 block of West Mangum Road,Houston,NA,Texas,0,1,N/A,Houston
224,2014-11-29,N/A,Rice,NA,Texas,0,1,N/A,Rice
225,2014-11-28,N/A,Childress,NA,Texas,1,0,N/A,Childress
226,2014-11-25,4302 Falcon Meadow,Katy,NA,Texas,1,0,N/A,Katy
227,2014-11-25,N/A,Hale County,NA,Texas,0,1,N/A,Hale County
228,2014-11-24,400 block of East Thomas Street,Atlanta,NA,Texas,1,0,N/A,Atlanta
229,2014-11-22,Texas County Road 4070,Woodville,NA,Texas,1,0,N/A,Woodville
230,2014-10-19,3800 block of Reynosa Street,Corpus Christi,NA,Texas,1,0,N/A,Corpus Christi
231,2014-09-26,Force and Crown,Houston,NA,Texas,1,0,N/A,Houston
232,2014-09-24,325 Pruitt Ave.,San Antonio,NA,Texas,0,0,N/A,San Antonio
233,2014-09-05,200 block of Moonshine Hill,Humble,NA,Texas,0,1,N/A,Humble
234,2014-08-24,4200 block of Southwest Loop 410,San Antonio,NA,Texas,1,0,N/A,San Antonio
235,2014-08-21,Mountain View Lane,Pipe Creek,NA,Texas,0,1,N/A,Pipe Creek
236,2014-08-14,4600 East Houston St.,San Antonio,NA,Texas,1,0,N/A,San Antonio
237,2014-08-13,400 block of S. Pine St.,San Antonio,NA,Texas,0,1,N/A,San Antonio
238,2014-08-10,1100 S Seventh,Conroe,NA,Texas,0,1,N/A,Conroe
239,2014-08-10,N/A,Texas City,NA,Texas,0,1,N/A,Texas City
240,2014-08-07,N/A,Texas City,NA,Texas,0,1,N/A,Texas City
241,2014-08-06,10100 Beechnut St,Houston,NA,Texas,0,2,N/A,Houston
242,2014-08-05,600 block of Destin Dr,Fort Worth,NA,Texas,0,1,N/A,Fort Worth
243,2014-08-01,N/A,Ector County,NA,Texas,0,1,N/A,Ector County
244,2014-07-31,1600 block of Saunders,Bryan,NA,Texas,1,0,N/A,Bryan
245,2014-07-31,N/A,Bryan,NA,Texas,1,0,N/A,Bryan
246,2014-07-26,N/A,Belton,NA,Texas,0,1,N/A,Belton
247,2014-07-23,Pine and E. Crockett St.,San Antonio,NA,Texas,0,1,N/A,San Antonio
248,2014-07-12,100 Debby Ln,Mineola,NA,Texas,0,1,N/A,Mineola
249,2014-07-09,FM 1375 E,New Waverly,NA,Texas,0,1,N/A,New Waverly
250,2014-07-05,11400 block of Panay,Houston,NA,Texas,1,0,N/A,Houston
251,2014-07-03,N/A,Dallas,NA,Texas,1,0,N/A,Dallas
252,2014-07-01,Co Rd 4764,Briar,NA,Texas,0,1,N/A,Briar
253,2014-06-30,6301 Ranchester,Houston,NA,Texas,1,0,N/A,Houston
254,2014-06-27,14678 FM 59,Athens,NA,Texas,0,1,N/A,Athens
255,2014-06-22,739 West William Cannon Dr,Austin,NA,Texas,1,0,N/A,Austin
256,2014-06-13,16000 block of US 385,Odessa,NA,Texas,0,1,N/A,Odessa
257,2014-06-12,Evanston St,Houston,NA,Texas,0,1,N/A,Houston
258,2014-05-24,100 block of Becker St,Boerne,NA,Texas,1,0,N/A,Boerne
259,2014-04-24,Isom Street,Houston,NA,Texas,0,1,N/A,Houston
260,2014-04-13,9820 North Freeway,Houston,NA,Texas,0,0,N/A,Houston
261,2014-03-13,County Road 2130,Emory,NA,Texas,1,0,N/A,Emory
262,2014-03-10,County Rd 3144,Corsicana,NA,Texas,1,0,N/A,Corsicana
263,2014-03-01,12800 block of Gotham Dr,Houston,NA,Texas,1,0,N/A,Houston
264,2014-03-01,N/A,Dallas,NA,Texas,0,1,N/A,Dallas
265,2014-02-27,200 block of Madero,San Antonio,NA,Texas,1,0,N/A,San Antonio
266,2014-02-14,N/A,Aransas Pass,NA,Texas,0,1,N/A,Aransas Pass
267,2014-01-26,1100 block of TX 31,Kilgore,NA,Texas,1,0,N/A,Kilgore
268,2014-01-25,1100 block of TX-31,Kilgore,NA,Texas,1,0,N/A,Kilgore
269,2014-01-18,100 block of S. Broad,Lampasas County,NA,Texas,0,1,N/A,Lampasas County
270,2014-01-02,610 Howard Street,Taylor,NA,Texas,0,1,N/A,Taylor
