id,incident_date,address,city,county,state,number_killed,number_injured,operations,city_or_county,number,street,city_2,zip,county_2,households_total,households_moe,median_income_total,median_income_moe,accuracy_score,accuracy_type,state_2,latitude,longitude,state_fips,county_fips,place_fips,census_tract_code,census_block_code,census_block_group,full_fips
60,2017-12-30,1000 block of E Walnut St,Hillsboro,NA,Texas,1,0,N/A,Hillsboro,NA,NA,Hillsboro,76645,Hill County,NA,NA,NA,NA,0.33,place,TX,31.937903,-97.057661,48,48217,4834088,961100,2232,2,482179611002232
61,2017-12-17,1500 block of Wilson,Deer Park,NA,Texas,1,0,N/A,Deer Park,NA,NA,Deer Park,77536,Harris County,NA,NA,NA,NA,0.33,place,TX,29.687972,-95.116749,48,48201,4819624,342700,3000,3,482013427003000
62,2017-11-28,6300 block of Feather Creek Dr,Houston,NA,Texas,0,1,N/A,Houston,NA,Belk St,Houston,77087,Harris County,392,87,25469,4498,0.5,street_center,TX,29.694371,-95.313616,48,48201,4835000,332800,1018,1,482013328001018
63,2017-11-24,8000 block of Grow Ln,Houston,NA,Texas,0,1,N/A,Houston,NA,Belk St,Houston,77087,Harris County,392,87,25469,4498,0.5,street_center,TX,29.694371,-95.313616,48,48201,4835000,332800,1018,1,482013328001018
64,2017-11-24,N/A,Bulverde,NA,Texas,1,0,N/A,Bulverde,NA,NA,Bulverde,78163,Comal County,NA,NA,NA,NA,1,place,TX,29.776691,-98.46263,48,48091,4811224,310704,2016,2,480913107042016
65,2017-11-21,110 Mercedes Street,San Antonio,NA,Texas,0,1,N/A,San Antonio,110,Mercedes St,San Antonio,78207,Bexar County,771,140,21960,7719,1,rooftop,TX,29.405431,-98.519305,48,48029,4865000,160100,4038,4,480291601004038
66,2017-11-18,9000 block of CR 245,Concepcion,NA,Texas,1,0,N/A,Concepcion,NA,NA,Concepcion,78349,Duval County,NA,NA,NA,NA,0.33,place,TX,27.39517,-98.35577,48,48131,4816300,950500,2272,2,481319505002272
67,2017-11-08,2600 block of FM 418,Kountze,NA,Texas,1,0,N/A,Kountze,NA,NA,Kountze,77625,Hardin County,NA,NA,NA,NA,0.33,place,TX,30.361001,-94.37408,48,48199,4839868,030300,1388,1,481990303001388
68,2017-10-28,5400 block of Wilson Rd,Fort Worth,NA,Texas,1,0,N/A,Fort Worth,5400,Black Dr,Fort Worth,76137,Tarrant County,524,141,38500,16217,1,rooftop,TX,32.853626,-97.269975,48,48439,4827000,110203,1004,1,484391102031004
69,2017-10-17,8000 block of Boone St,Houston,NA,Texas,0,1,N/A,Houston,NA,Belk St,Houston,77087,Harris County,392,87,25469,4498,0.5,street_center,TX,29.694371,-95.313616,48,48201,4835000,332800,1018,1,482013328001018
